title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
£500 payment scheme now open to parents/carers,2020-12-07T00:00:00Z,"<p><a href=""https://gov.wales/500-payment-scheme-now-open-parents-and-carers-children-required-self-isolate"">The First Minister, Mark Drakeford, announces</a> that the Self-Isolation Support Scheme will now be extended to parents and carers on low incomes with children who are self-isolating because of a coronavirus outbreak in their school or childcare setting.</p>",Cynllun y taliad sylfaenol o £500 bellach ar agor i rieni/gofalwyr,2020-12-07T00:00:00Z,"<p><a href=""https://llyw.cymru/cynllun-taliadau-500-yn-awr-ar-gael-i-rieni-gofalwyr-plant-syn-gorfod-hunanynysu?_ga=2.91007642.1464424645.1607950809-287862913.1607950809"">Y Prif Weinidog, Mark Drakeford, yn cyhoeddi</a> y bydd y Cynllun Cymorth gyda Hunanynysu bellach yn cael ei estyn i rieni a gofalwyr ar incwm isel gyda phlant sy’n hunanynysu o ganlyniad i achos o’r Coronafeirws yn eu hysgol, neu eu lleoliad gofal plant.</p>"
Restrictions in hospitality and leisure sectors now in force,2020-12-04T00:00:00Z,"<p>New restrictions on pubs and restaurants in Wales come into effect at 6pm on this date. Under the <a href=""https://gov.wales/health-protection-coronavirus-restrictions-and-functions-local-authorities-amendment-wales"">Health Protection (Coronavirus Restrictions and Functions of Local Authorities) (Amendment) (Wales) Regulations 2020</a>, hospitality businesses in Wales must close by 6pm each day and are not permitted to serve alcohol at any time. Indoor entertainment and visitor attractions must also close, as announced on 30 November. The <a href=""https://gov.wales/coronavirus-covid-19-closure-businesses-and-premises-html"">period of closure</a> will be reviewed by the Welsh Ministers by Thursday 17 December, and at least once in every three week period after that date.</p>",Cyfyngiadau mewn sectorau lletygarwch a hamdden sydd bellach mewn grym,2020-12-04T00:00:00Z,"<p>Daw cyfyngiadau newydd ar dafarnau a bwytai yng Nghymru i rym am 6pm ar y dyddiad hwn. O dan <a href=""https://llyw.cymru/rheoliadau-diogelu-iechyd-cyfyngiadau-coronafeirws-swyddogaethau-awdurdodau-lleol-diwygio-cymru"">Reoliadau Diogelu Iechyd (Cyfyngiadau Coronafeirws a Swyddogaethau Awdurdodau Lleol) (Diwygio) (Cymru) 2020</a>, mae’n rhaid i fusnesau lletygarwch yng Nghymru gau erbyn 6pm bob dydd ac ni chaniateir iddynt weini alcohol ar unrhyw adeg. Mae’n rhaid i atyniadau adloniant ac ymwelwyr dan do gau hefyd, fel y cyhoeddwyd ar 30 Tachwedd. Caiff y <a href=""https://llyw.cymru/coronafeirws-covid-19-cau-busnesau-ac-adeiladau-html"">cyfnod cau</a> ei adolygu gan Weinidogion Cymru erbyn dydd Iau 17 Rhagfyr, ac o leiaf unwaith bob tair wythnos ar ôl y dyddiad hwnnw.</p>"
UK coronavirus travel restrictions,2020-12-03T00:00:00Z,"<p><a href=""https://gov.wales/first-minister-announces-latest-coronavirus-travel-restrictions"">The First Minister announces</a> that travel between Wales and areas of the UK with high rates of coronavirus will not be allowed from 6pm on 4 December 2020. Wales’ coronavirus regulations will be amended to prohibit travel to and from tier three areas in England; level three and four areas in Scotland and the whole of Northern Ireland, which is currently in lockdown. People in Wales will be strongly advised not to travel to other parts of the UK with lower levels of coronavirus (tier one and two areas in England or level one and two areas in Scotland) to help control the spread of the virus. There are no restrictions on travel within Wales. All travel restrictions within the UK will be suspended between 23 and 27 December 2020 to allow people to meet members of their Christmas bubble. The travel restrictions are likely to remain in place until at least January 2021 but will be kept under constant review.</p>",Y cyfyngiadau teithio diweddaraf i atal y coronafeirws yn y DU,2020-12-03T00:00:00Z,"<p>Mae’r <a href=""https://llyw.cymru/y-prif-weinidog-yn-cyhoeddir-cyfyngiadau-teithio-diweddaraf-i-atal-coronafeirws"">Prif Weinidog yn cyhoeddi</a> na chaniateir teithio rhwng Cymru ac ardaloedd o’r DU sydd â chyfraddau coronafeirws uchel o 6pm ar 4 Rhagfyr 2020. Caiff rheoliadau coronafeirws Cymru eu diwygio i wahardd teithio i ardaloedd haen tri yn Lloegr; ardaloedd lefel tri a phedwar yn yr Alban a phob ardal yng Ngogledd Iwerddon, sydd dan gyfyngiadau symud ar hyn o bryd, ac o’r ardaloedd hynny. Bydd pobl yng Nghymru yn cael cyngor cryf i beidio â theithio i rannau eraill o’r DU â lefelau coronafeirws is (ardaloedd haen un a dau yn Lloegr neu ardaloedd lefel un a dau yn yr Alban) i helpu i reoli lledaeniad y feirws. Nid oes cyfyngiadau ar deithio yng Nghymru. Caiff yr holl gyfyngiadau teithio yn y DU eu hatal dros dro rhwng 23 a 27 Rhagfyr 2020 er mwyn caniatáu i bobl gwrdd ag aelodau o’u swigen Nadolig. Mae’r cyfyngiadau teithio’n debygol o barhau i fod ar waith tan fis Ionawr 2021 o leiaf ond cânt eu hadolygu’n gyson.</p>"
Virtual group health clinics to be rolled out,2020-12-03T00:00:00Z,"<p><a href=""https://gov.wales/virtual-group-clinics-be-rolled-out-across-nhs-wales"">The Health Minister announces</a> that virtual consultations across NHS Wales services are to be expanded to include virtual group clinics, for outpatients across primary, secondary and community care. The virtual group clinics will deliver care to groups of people with similar health needs, including diabetes, musculoskeletal conditions, rheumatology and dermatology.</p>",Clinigau iechyd grŵp rhithwir i’w cyflwyno,2020-12-03T00:00:00Z,"<p>Mae’r <a href=""https://llyw.cymru/cyflwyno-clinigau-grwp-rhithwir-ar-draws-gig-cymru"">Gweinidog Iechyd yn cyhoeddi</a> bod ymgyngoriadau rhithwir ar draws gwasanaethau GIG Cymru i’w hehangu i gynnwys clinigau grŵp rhithwir, ar gyfer cleifion allanol ar draws gofal sylfaenol, eilaidd a chymunedol. Bydd y clinigau grŵp rhithwir yn darparu gofal i grwpiau o bobl ag anghenion iechyd tebyg, gan gynnwys diabetes, cyflyrau cyhyrysgerbydol, rhewmatoleg a dermatoleg.</p>"
Vaccine Deployment in Wales,2020-12-02T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-covid-19-vaccine-deployment-wales-0"">Wales’ Health Minister welcomes</a> the news that the Medicines and Healthcare products Regulatory Agency (MHRA) has granted the Pfizer/BioNTech vaccine temporary authorisation for use based on evidence of safety and effectiveness. The vaccine will be deployed based on advice from the Joint Committee on Vaccination and Immunisation (JCVI), which recommends that the vaccine be offered in the first instance to care home residents and health and social care workers, alongside people aged 80 and over. Wales is ready to deploy the vaccine in phases, starting with hospital sites and then community settings. People will automatically be sent appointments. The vaccine will not be mandatory.</p>",Cyflenwi’r Brechlyn yng Nghymru,2020-12-02T00:00:00Z,"<p>Mae <a href=""https://gov.wales/written-statement-covid-19-vaccine-deployment-wales-0"">Gweinidog Iechyd Cymru yn croesawu’r</a> newyddion bod yr Asiantaeth Rheoleiddio Meddyginiaethau a Chynhyrchion Gofal Iechyd wedi rhoi awdurdodiad dros dro i ddefnyddio brechlyn Pfizer/BioNTech ar sail tystiolaeth o’i ddiogelwch a’i effeithiolrwydd. Bydd y brechlyn yn cael ei gyflenwi ar sail cyngor gan y Cyd-bwyllgor ar Imiwneiddio a Brechu (CBIB), sy’n argymell y dylid cynnig y brechlyn, yn y lle cyntaf, i breswylwyr cartrefi gofal a gweithwyr iechyd a gofal cymdeithasol, ochr yn ochr â phobl 80 oed a hŷn. Mae Cymru yn barod i gyflenwi’r brechlyn fesul cam, gan ddechrau gyda safleoedd ysbyty a lleoliadau cymunedol wedyn. Caiff apwyntiadau eu hanfon at bobl yn awtomatig. Ni fydd y brechlyn yn orfodol.</p>"
New targeted restrictions in hospitality and leisure,2020-11-30T00:00:00Z,"<p><a href=""https://gov.wales/340m-support-welsh-businesses-new-coronavirus-rules-announced"">The First Minister announces</a> that from 4 December 2020, pubs, bars, restaurants and cafes will have to close by 6pm and will not be allowed to serve alcohol. After 6pm they will only be able to provide takeaway services. Indoor entertainment and visitor attractions must also close. The Welsh Government is making a further £340m available through the Economic Resilience Fund to support businesses affected by the new changes to the regulations. This will include a specific fund to support hospitality and tourism businesses.</p>",Cyfyngiadau newydd wedi’u targedu ar gyfer y sectorau lletygarwch a hamdden,2020-11-30T00:00:00Z,"<p>Mae’r <a href=""https://llyw.cymru/cymorth-340m-ar-gyfer-busnesau-cymru-wrth-ir-rheolau-coronafeirws-newydd-gael-eu-cyhoeddi"">Prif Weinidog yn cyhoeddi</a>, o 4 Rhagfyr 2020, y bydd yn rhaid i dafarnau, bariau, bwytai a chaffis gau erbyn 6pm ac na chaniateir iddynt weini alcohol. Ar ôl 6pm, cânt gynnig gwasanaethau cludfwyd yn unig. Mae’n rhaid i atyniadau adloniant ac ymwelwyr dan do gau hefyd. Mae Llywodraeth Cymru yn darparu £340 miliwn arall o gymorth drwy’r Gronfa Cadernid Economaidd i gefnogi busnesau y mae’r newidiadau newydd i’r rheoliadau’n effeithio arnynt. Bydd hyn yn cynnwys cronfa benodol i gefnogi busnesau lletygarwch a thwristiaeth.</p>"
Hospital visiting guidelines reviewed,2020-11-30T00:00:00Z,"<p>Revised guidance on NHS Wales <a href=""https://gov.wales/hospital-visiting-during-coronavirus-outbreak-guidance"">hospital visiting during the coronavirus outbreak</a> is published. The guidance sets out the ‘baseline’ for visiting in Wales during the pandemic, but allows health boards, trusts and hospices to have some flexibility. Visiting in maternity services will now be based on a risk assessment approach by health boards, and the updated guidelines also recognise that some people may need specific additional support e.g. a support worker or interpreter.</p>",Canllawiau ymweld ag ysbytai wedi’u hadolygu,2020-11-30T00:00:00Z,"<p>Mae canllawiau diwygiedig ar <a href=""https://llyw.cymru/ymweld-ag-ysbytai-yn-ystod-y-coronafeirws-canllawiau"">ymweld ag ysbytai GIG Cymru yn ystod argyfwng y coronafeirws</a> yn cael eu cyhoeddi. Mae’r canllawiau’n nodi’r ‘llinell sylfaen’ ar gyfer ymweld ag ysbytai yng Nghymru yn ystod y pandemig, ond yn caniatáu rhywfaint o hyblygrwydd i fyrddau iechyd, ymddiriedolaethau a hosbisau. Bydd ymweld â gwasanaethau mamolaeth bellach ar sail dull gweithredu asesiad risg gan fyrddau iechyd, ac mae’r canllawiau wedi’u diweddaru hefyd yn cydnabod ei bod yn bosibl bod angen cymorth ychwanegol penodol ar rai pobl, e.e. gweithiwr cymorth neu gyfieithydd.</p>"
Mass testing extended to the lower Cynon Valley,2020-11-27T00:00:00Z,"<p>Wales’ Health Minister, <a href=""https://gov.wales/written-statement-covid-19-testing-lower-cynon-valley"">Vaughan Gething, says</a> that from 5 December 2020 the mass testing pilot will be extended into the lower Cynon Valley. The pilot began on 21 November in Merthyr. All residents in the area, regardless of symptoms, will be offered COVID-19 testing “to help find more positive cases and break chains of transmission”.</p>",Ymestyn profion torfol i Gwm Cynon isaf,2020-11-27T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-profion-covid-19-yng-nghwm-cynon-isaf"">Vaughan Gething</a>, y Gweinidog Iechyd, yn dweud y bydd y peilot profi torfol yn cael ei ymestyn i Gwm Cynon isaf o 5 Rhagfyr 2020. Dechreuodd y peilot ar 21 Tachwedd ym Merthyr. Bydd prawf COVID-19 yn cael ei gynnig i holl drigolion yr ardal, waeth beth fo’u symptomau, a hynny “i helpu i ddod o hyd i ragor o achosion positif ac i dorri’r cadwyni trosglwyddo”.</p>"
Free flu vaccine available for over 50s,2020-11-25T00:00:00Z,"<p><a href=""https://gov.wales/free-flu-vaccine-now-available-over-50s-across-wales"">Minister for Health and Social Services, Vaughan Gething, announces</a> that from 1 December 2020, NHS Wales’ free flu vaccination will be available for anyone aged 50 or over. Those aged 50 and over should expect to be contacted by their GP practice or can contact their local pharmacy to arrange a vaccination.</p>",Brechlyn ffliw am ddim ar gael i bobl dros 50 oed,2020-11-25T00:00:00Z,"<p><a href=""https://llyw.cymru/brechiad-ffliw-am-ddim-ar-gael-i-bobl-dros-50-oed-ar-draws-cymru"">Vaughan Gething, y Gweinidog Iechyd a Gwsanaethau Cymdeithasol, yn cyhoeddi</a> y bydd brechlyn ffliw am ddim ar gael i unrhyw un sy’n 50 oed neu’n hŷn gan GIG Cymru o 1 Rhagfyr 2020. Dylai pobl 50 oed a hŷn ddisgwyl i’w meddyg teulu gysylltu â nhw neu gallant gysylltu â’u fferyllfa leol i drefnu cael eu brechu.</p>"
UK-wide rules for Christmas agreed,2020-11-24T00:00:00Z,"<p><a href=""https://gov.wales/four-uk-nations-agree-new-rules-festive-period"">First Minister, Mark Drakeford, announces</a> that a broad set of UK-wide measures to help people come together during the festive period, in a way that is as safe as possible, have been agreed by the governments of the UK’s four nations. <a href=""https://gov.wales/making-christmas-bubble-friends-and-family"">These include</a> relaxing travel restrictions across the four nations and between tiers to provide a window for households to come together between 23 and 27 December 2020 and up to three households can form an exclusive ‘bubble’ to meet at home during this period. Each Christmas bubble can meet at home, at a place of worship or an outdoor public place, but existing, more restrictive rules on hospitality and meeting in other venues will be maintained throughout this period.</p>",Cytuno ar reolau y DU gyfan ar gyfer y Nadolig,2020-11-24T00:00:00Z,"<p><a href=""https://llyw.cymru/pedair-gwlad-y-du-yn-cytuno-ar-reolau-newydd-ar-gyfer-cyfnod-yr-wyl"">Mark Drakeford, Prif Weinidog Cymru, yn cyhoeddi</a> bod llywodraethau pedair gwlad y DU wedi cytuno ar set eang o fesurau ar gyfer y DU gyfan i helpu pobl i ddod at ei gilydd dros yr ŵyl, mewn ffordd mor ddiogel â phosibl. <a href=""https://llyw.cymru/ffurfio-swigen-nadolig-gyda-ffrindiau-theulu"">Mae’r rheolau hyn yn cynnwys</a> llacio cyfyngiadau teithio ar draws y pedair gwlad a rhwng haenau fel bod cyfle i aelwydydd ddod at ei gilydd rhwng 23 a 27 Rhagfyr 2020 a bod hyd at dair aelwyd yn gallu ffurfio ‘swigen’ i gwrdd gartref yn ystod y cyfnod hwn. Gall pob swigen Nadolig gwrdd gartref, mewn addoldy neu mewn man cyhoeddus awyr agored, ond bydd rheolau mwy llym presennol ar letygarwch a chwrdd mewn lleoliadau eraill yn parhau drwy gydol y cyfnod hwn.</p>"
Pilot of testing visitors to care homes,2020-11-23T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-care-home-visits-pilot-visitor-testing-and-free-care-home-visiting-pods"">Welsh Ministers announce </a>that new rapid-testing technologies will be used to pilot a programme of Covid-19 screening for visitors to a small number of care homes across Wales from 30 November 2020. This is intended to pave the way for a wider roll-out to more Welsh care homes from the week commencing 14 December 2020. As part of the pilot, care homes across all parts of Wales have volunteered to offer testing to care home visitors using Lateral Flow Devices, which offer a result in roughly 20 minutes. Appropriate infection prevention and control procedures, such as hand hygiene and PPE, and appropriate social distancing must continue to be followed.</p>",Peilot i brofi ymwelwyr â chartrefi gofal,2020-11-23T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-ymweld-chartrefi-gofal-cynllun-peilot-i-brofi-ymwelwyr-phodiau-ymweld-am"">Gweinidogion Cymru yn cyhoeddi </a>y bydd technolegau profi cyflym newydd yn cael eu defnyddio i gynnal rhaglen beilot i sgrinio ymwelwyr â nifer fach o gartrefi gofal ledled Cymru o 30 Tachwedd 2020 ar gyfer Covid-19. Bwriad hyn yw paratoi’r ffordd ar gyfer cyflwyno rhaglen ehangach i fwy o gartrefi gofal yng Nghymru o’r wythnos sy’n dechrau 14 Rhagfyr 2020.</p>"
Changes to face covering policy in schools and colleges,2020-11-23T00:00:00Z,"<p><a href=""https://gov.wales/changes-face-coverings-policy-schools-and-colleges"">Education Minister, Kirsty Williams, announces</a> that the Welsh Government has updated its guidance on the use of face coverings in schools and colleges. The guidance now states that face coverings should be worn: in all areas outside the classroom by staff and learners in secondary schools and colleges; on dedicated school and college transport for learners in year 7 and up; and by visitors to all schools and colleges, including parents and carers dropping off and picking up children. The Welsh Government’s policy for face coverings in classrooms remains the same.</p>",Newidiadau i bolisi gorchuddion wyneb mewn ysgolion a cholegau,2020-11-23T00:00:00Z,"<p><a href=""https://llyw.cymru/newidiadau-ir-polisi-ar-orchuddion-wyneb-mewn-ysgolion-cholegau"">Kirsty Williams, y Gweinidog Addysg, yn cyhoeddi</a> bod Llywodraeth Cymru wedi diweddaru ei chanllawiau ar ddefnyddio gorchuddion wyneb mewn ysgolion a cholegau. Mae’r canllaw bellach yn nodi y dylid gwisgo gorchuddion wyneb ym mhob man y tu allan i’r ystafell ddosbarth gan staff a dysgwyr mewn ysgolion uwchradd a cholegau, ar drafnidiaeth ysgol a choleg pwrpasol i ddysgwyr ym mlwyddyn 7 ac yn hŷn, a chan ymwelwyr â phob ysgol a choleg, gan gynnwys rhieni a gofalwyr, wrth ollwng a chasglu plant. Mae polisi Llywodraeth Cymru ar gyfer gorchuddion wyneb mewn ystafelloedd dosbarth yn aros yr un fath.</p>"
Visitor pods for care homes pilot,2020-11-23T00:00:00Z,"<p>The <a href=""https://gov.wales/temporary-visitor-pods-care-homes-be-rolled-out"">Health Minister announces</a> that temporary ‘pods’ will provided to care homes across Wales to help facilitate visits over the winter months. The £3 million pilot will cover the procurement, installation and lease of 100 units, with an initial 30 being installed and ready to use before Christmas.</p>",Cynllun peilot unedau bach dros dro i gynnal ymweliadau mewn cartrefi gofal,2020-11-23T00:00:00Z,"<p><a href=""https://llyw.cymru/gosod-unedau-bach-dros-dro-i-gynnal-ymweliadau-mewn-cartrefi-gofal"">Y Gweinidog Iechyd yn cyhoeddi</a> y bydd ‘unedau bach’ dros dro yn cael eu darparu i gartrefi gofal ledled Cymru i helpu i hwyluso ymweliadau dros fisoedd y gaeaf. Bydd y cynllun peilot gwerth £3 miliwn yn talu costau caffael, gosod a phrydlesu 100 o unedau, gyda 30 yn cael eu gosod i ddechrau a byddant yn barod i’w defnyddio cyn y Nadolig.</p>"
UK-wide approach to Christmas rules,2020-11-21T00:00:00Z,"<p><a href=""https://www.gov.uk/government/news/uk-government-and-devolved-administrations-meeting-21-november-2020"">UK Government and devolved administrations meet</a> to discuss shared arrangements for the festive period. ‘Ministers endorsed a shared objective of facilitating some limited additional household bubbling for a small number of days, but also emphasised that the public will be advised to remain cautious, and that wherever possible people should avoid travelling and minimise social contact’. Work is continuing to finalise the arrangements.</p>",Dull gweithredu ledled y DU ar gyfer rheolau’r Nadolig,2020-11-21T00:00:00Z,"<p><a href=""https://www.gov.uk/government/news/uk-government-and-devolved-administrations-meeting-21-november-2020"">Llywodraeth y DU a gweinyddiaethau datganoledig yn cyfarfod</a> i drafod trefniadau cyffredin ar gyfer cyfnod yr ŵyl. Cymeradwyodd y Gweinidogion amcan cyffredin ar gyfer hwyluso swigod aelwydydd ychwanegol cyfyngedig am nifer fach o ddiwrnodau, ond pwysleisiodd hefyd y bydd aelodau o’r cyhoedd yn cael eu cynghori i fod yn ofalus o hyd, ac y dylai pobl, lle bynnag y bo’n bosibl, osgoi teithio a lleihau cyffyrddiadau cymdeithasol. Mae gwaith yn parhau i gwblhau’r trefniadau.</p>"
NHS Wales waiting times,2020-11-19T00:00:00Z,"<p>Publication of <a href=""https://gov.wales/nhs-activity-and-performance-summary"">NHS Wales performance statistics</a> is resumed. The <a href=""https://gov.wales/written-statement-publication-nhs-performance-statistics"">Health Minister says</a> ‘Since the last planned care statistics were published in February, the number of people on the waiting list has increased, as they have elsewhere in the UK. This is due, in part, to the additional measures, which have been put in place to reduce the risk of coronavirus spreading and to ensure people can be seen and treated safely. Everyone on the waiting list is being reviewed by their clinician and seen in order of clinical priority’. A new set of <a href=""https://gov.wales/experimental-new-measures-tested-emergency-departments-wales"">experimental measures</a> for emergency departments is also being <a href=""https://nccu.nhs.wales/npuc/edqdf/"">published</a>.</p>",Amseroedd aros GIG Cymru,2020-11-19T00:00:00Z,"<p>Cyhoeddi <a href=""https://llyw.cymru/crynodeb-perfformiad-gweithgaredd-y-gig"">ystadegau perfformiad GIG Cymru</a> yn ailddechrau. Y <a href=""https://llyw.cymru/datganiad-ysgrifenedig-cyhoeddi-ystadegau-perfformiad-y-gig"">Gweinidog Iechyd yn dweud</a> ‘Ers i’r ystadegau gofal wedi’i gynllunio diwethaf gael eu cyhoeddi ym mis Chwefror, mae nifer y bobl ar y rhestr aros wedi cynyddu, fel mewn mannau eraill yn y DU. Mae hyn i’w briodoli, yn rhannol, i’r mesurau ychwanegol sydd wedi’u sefydlu i atal y coronafeirws rhag lledaenu a sicrhau bod modd gweld a thrin pobl yn ddiogel. Mae pawb ar y rhestr aros yn cael ei adolygu gan ei glinigydd ac yn cael ei weld yn nhrefn blaenoriaeth glinigol’. Cyfres newydd o <a href=""https://llyw.cymru/rhoi-mesurau-newydd-arbrofol-ar-brawf-mewn-adrannau-argyfwng-yng-nghymru"">fesurau arbrofol</a> gyfer adrannau achosion brys hefyd yn cael ei <a href=""https://nccu.nhs.wales/npuc/edqdf/"">chyhoeddi</a>.</p>"
Merthyr Tydfil to be first whole area testing pilot in Wales,2020-11-18T00:00:00Z,"<p><a href=""https://gov.wales/merthyr-tydfil-county-borough-be-first-whole-area-testing-pilot-wales"">Minister for Health and Social Services, Vaughan Gething, announces</a> that everyone living or working in Merthyr Tydfil County Borough will be offered Covid-19 testing, whether they have symptoms or not, as part of the first mass testing of a whole area in Wales. All residents and workers will be offered repeat Covid-19 testing from 21 November 2020 to help find more positive cases and break the chains of transmission. The first site will open at Merthyr Tydfil leisure centre with further sites due to open throughout the county borough later in November. The mass testing programme will also see the use of Lateral Flow Devices (LFDs) in Wales for the first time.</p>",Merthyr Tudful fydd yr ardal gyfan gyntaf i gael profion torfol yng Nghymru,2020-11-18T00:00:00Z,"<p><a href=""https://llyw.cymru/bwrdeistref-sirol-merthyr-tudful-fydd-yr-ardal-gyfan-gyntaf-i-gael-profion-torfol-yng-nghymru"">Vaughan Gething, y Gweinidog Iechyd a Gwasanaethau Cymdeithasol, yn cyhoeddi</a> y bydd pawb sy’n byw neu’n gweithio ym Merthyr Tudful yn cael cynnig profion COVID-19, ni waeth a oes ganddynt symptomau ai peidio – yn y cynllun profi torfol cyntaf ar gyfer ardal gyfan yng Nghymru. Bydd yr holl breswylwyr a gweithwyr yn cael cynnig profion COVID-19 rheolaidd o 21 Tachwedd i helpu i ddod o hyd i fwy o achosion positif a thorri cadwyni trosglwyddo. Bydd y safle cyntaf yn agor yng nghanolfan hamdden Merthyr Tudful ddydd Sadwrn 21 Tachwedd a bydd rhagor o safleoedd yn agor ar draws y fwrdeistref sirol yn nes ymlaen ym mis Tachwedd. Bydd y cynllun profi torfol hefyd yn defnyddio Dyfeisiau Llif Unffordd am y tro cyntaf yng Nghymru</p>"
Plans for ‘Covid secure’ Senedd elections,2020-11-17T00:00:00Z,"<p><a href=""https://gov.wales/first-minister-sets-out-plans-hold-covid-secure-2021-senedd-elections"">First Minister, Mark Drakeford, sets out plans</a> to ensure the people of Wales can vote safely at the 2021 Senedd elections, and that they take place as planned on 6 May 2021. An Elections Planning Group has agreed on a number of measures, including greater flexibility around the nomination of candidates, as well as postal and proxy voting, and measures to ensure the safe operation of polling stations and count venues. The Welsh Government is also making contingency plans in the event that the pandemic presents such a serious threat to public health that it is not safe to hold the election in May 2021.</p>",Cynlluniau i gynnal etholiadau ‘diogel o ran Covid’ ar gyfer y Senedd,2020-11-17T00:00:00Z,"<p><a href=""https://llyw.cymru/y-prif-weinidog-yn-amlinellu-cynlluniau-i-gynnal-etholiadau-diogel-o-ran-covid-ar-gyfer-y-senedd"">Mark Drakeford, Prif Weinidog Cymru, yn amlinellu cynlluniau</a> i sicrhau y gall pobl Cymru bleidleisio’n ddiogel yn etholiadau’r Senedd yn 2021, a bod yr etholiadau’n cael eu cynnal yn ôl y bwriad ar 6 Mai 2021. Mae’r Grŵp Cynllunio Etholiadau wedi cytuno ar nifer o fesurau, gan gynnwys mwy o hyblygrwydd o ran enwebu ymgeiswyr, yn ogystal ag o ran pleidleisio drwy’r post a thrwy ddirprwy, a mesurau i sicrhau bod gorsafoedd pleidleisio a lleoliadau cyfrif yn gweithredu’n ddiogel. Mae Llywodraeth Cymru yn gwneud cynlluniau wrth gefn hefyd, rhag ofn y bydd pandemig y coronafeirws yn fygythiad mor ddifrifol i iechyd y cyhoedd fel na fydd hi’n ddiogel cynnal yr etholiad ym mis Mai 2021.</p>"
Self-isolation payment scheme opens,2020-11-16T00:00:00Z,"<p><a href=""https://gov.wales/self-isolation-payment-scheme-is-now-open"">First Minister, Mark Drakeford, announces</a> that people on low incomes who have coronavirus or have been told to self-isolate by the NHS Wales Test Trace Protect service are now able to apply for a £500 payment. The scheme is open to anyone receiving Universal Credit and other specified benefits. There will also be a discretionary element for those who do not meet the criteria but who face financial hardship as a result of self-isolating. People will be able to apply for the self-isolation payment via their local authority website from 16 November 2020 and payments will be backdated to 23 October 2020. A new top-up payment has also been introduced for people working in social care, to raise statutory sick pay to the level of their normal wages if they have to take time off because of coronavirus or because they have been in close contact with someone who has coronavirus.</p>",Cynllun taliad hunanynysu yn agor,2020-11-16T00:00:00Z,"<p><a href=""https://llyw.cymru/cynllun-taliad-hunanynysu-ar-agor-yn-awr"">Mark Drakeford, Prif Weinidog Cymru, yn cyhoeddi</a> y gall pobl ar incwm isel sydd wedi cael coronafeirws neu sydd wedi cael cyfarwyddyd i hunanynysu gan wasanaeth Profi Olrhain Diogelu GIG Cymru wneud cais yn awr am daliad o £500. Mae’r cynllun ar gael i unrhyw un sy’n cael Credyd Cynhwysol a budd-daliadau penodol eraill. Bydd elfen ddewisol hefyd ar gyfer y rhai sydd ddim yn bodloni’r meini prawf ond sy’n wynebu caledi ariannol o ganlyniad i orfod hunanynysu. Gall pobl wneud cais am y taliad hunanynysu ar wefan eu hawdurdod lleol o ddydd Llun 16 Tachwedd 2020 a bydd y taliadau’n cael eu hôl-ddyddio i 23 Hydref 2020. Mae cynllun newydd hefyd wedi’i gyflwyno ar gyfer pobl sy’n gweithio ym maes gofal cymdeithasol i roi taliad ychwanegol at eu tâl salwch statudol hyd at lefel eu cyflog arferol os oes rhaid iddynt gymryd amser i ffwrdd o’r gwaith oherwydd coronafeirws, neu os ydynt wedi dod i gysylltiad agos â rhywun sydd â’r feirws.</p>"
Funding to increase the number of contact tracers,2020-11-13T00:00:00Z,"<p>The Health Minister, <a href=""https://gov.wales/extra-ps157m-increase-contact-tracing-workforce-wales"">Vaughan Gething, announces</a> an extra £15.7 million to increase the number of contact tracing staff in Wales for the “expected rise in demand in December through to the end of March”.</p>",Cyllid i gynyddu nifer y swyddogion olrhain cysylltiadau,2020-11-13T00:00:00Z,"<p>Y Gweinidog Iechyd, <a href=""https://llyw.cymru/ps157m-arall-i-gynyddur-gweithlu-olrhain-cysylltiadau-yng-nghymru"">Vaughan Gething, yn cyhoeddi</a> cyllid ychwanegol o £15.7 miliwn i gynyddu nifer y swyddogion olrhain cysylltiadau yng Nghymru ar gyfer y “cynnydd disgwyliedig mewn galw ym mis Rhagfyr, a hyd at ddiwedd mis Mawrth”.</p>"
Support for those self-isolating,2020-11-13T00:00:00Z,"<p>The Welsh Government publishes the details of its two support schemes for those who need to self-isolate due to COVID-19. Further details on the statutory sick payment enhancement scheme for care workers, including on eligibility, can be <a href=""https://gov.wales/covid-19-statutory-sick-pay-enhancement-scheme"">found here</a>.</p>",Cefnogaeth i’r rheini sy’n hunan-ynysu,2020-11-13T00:00:00Z,"<p>Llywodraeth Cymru yn cyhoeddi manylion ei dau gynllun cymorth ar gyfer y rheini sydd angen hunan-ynysu oherwydd COVID-19. Mae mwy o fanylion am y cynllun ychwanegiad at dâl salwch statudol ar gyfer gweithwyr gofal, gan gynnwys pwy sy’n gymwys, <a href=""https://llyw.cymru/cynllun-ychwanegiad-dal-salwch-statudol-ar-gyfer-covid-19"">ar gael yma</a>.</p>"
